;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;;;;;;;;;;;;;;;;
;146;N20;N;20;3;200.03;FRENTE PARQUE;S/ 32,004.05;S/ 5,000.00;S/ 27,004.05;S/ 2,000.00;;;;;;;;;;;;;;;;
;147;N21;N;21;3;202.44;ESQ. FRENTE A PARQUE;S/ 37,390.40;S/ 5,000.00;S/ 32,390.40;S/ 2,000.00;;;;;;;;;;;;;;;;
;148;N22;N;22;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;149;N23;N;23;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;150;N24;N;24;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;151;N25;N;25;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;152;N26;N;26;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;153;N27;N;27;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;154;N28;N;28;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;155;N29;N;29;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;156;N30;N;30;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;157;N31;N;31;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;158;N32;N;32;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;159;N33;N;33;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;160;N34;N;34;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;161;N35;N;35;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;162;N36;N;36;3;200;ESQUINA;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;163;Ñ1;Ñ;1;3;202.50;ESQUINA;S/ 34,362.50;S/ 5,000.00;S/ 29,362.50;S/ 2,000.00;;;;;;;;;;;;;;;;
;164;Ñ2;Ñ;2;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;165;Ñ3;Ñ;3;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;166;Ñ4;Ñ;4;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;167;Ñ5;Ñ;5;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;168;Ñ6;Ñ;6;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;169;Ñ7;Ñ;7;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
